method,silhouette_score,calinski_score,n_clusters
hdbscan_10_umap,0.84229875,116585.04,130
hdbscan_15_umap,0.81483984,23478.832,90
hdbscan_20_umap,0.7471357,11316.45,63
hdbscan_10_pca,0.6476998,7332.356,66
hdbscan_15_pca,0.62923944,9079.335,44
hdbscan_20_pca,0.6083934,9230.56,35
hdbscan_10_direct,0.6067986,306.7083,94
hdbscan_15_direct,0.5935301,297.89587,79
hdbscan_20_direct,0.54956514,259.12494,58
kmeans_20_umap,0.5222058,3064.8513,20
kmeans_15_umap,0.48125067,2736.2896,15
kmeans_10_pca,0.4755249,5259.5723,10
kmeans_20_pca,0.4742946,6065.453,20
kmeans_15_pca,0.46633196,5485.6934,15
kmeans_10_umap,0.44003993,2380.8079,10
kmeans_20_direct,0.31821334,188.29216,20
kmeans_15_direct,0.28477198,194.79736,15
kmeans_10_direct,0.231305,200.1172,10
